arm,run,update,compute_units,group,query_hops,inference_loops,accuracy,correct,n,sources
conditional,v3-conditional-s20260914,400,619167744,primary,"9,10,11,12",6,0.029296875,15,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-400.json
conditional,v3-conditional-s20260914,400,619167744,primary,"9,10,11,12",8,0.033203125,17,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-400.json
conditional,v3-conditional-s20260914,400,619167744,seen_hard,"6,8",4,0.0625,16,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-400.json
conditional,v3-conditional-s20260914,400,619167744,seen_hard,"6,8",6,0.06640625,17,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-400.json
conditional,v3-conditional-s20260914,400,619167744,seen_hard,"6,8",8,0.3359375,86,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-400.json
conditional,v3-conditional-s20260914,400,619167744,d1,1,4,1.0,128,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-400.json
conditional,v3-conditional-s20260914,400,619167744,d1,1,6,0.984375,126,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-400.json
conditional,v3-conditional-s20260914,400,619167744,d1,1,8,0.75,96,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-400.json
conditional,v3-conditional-s20260914,600,995524608,primary,"9,10,11,12",4,0.08203125,42,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-600.json
conditional,v3-conditional-s20260914,600,995524608,primary,"9,10,11,12",6,0.044921875,23,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-600.json
conditional,v3-conditional-s20260914,600,995524608,primary,"9,10,11,12",8,0.0546875,28,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-600.json
conditional,v3-conditional-s20260914,600,995524608,seen_hard,"6,8",4,0.06640625,17,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-600.json
conditional,v3-conditional-s20260914,600,995524608,seen_hard,"6,8",6,0.0703125,18,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-600.json
conditional,v3-conditional-s20260914,600,995524608,seen_hard,"6,8",8,0.546875,140,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-600.json
conditional,v3-conditional-s20260914,600,995524608,d1,1,4,1.0,128,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-600.json
conditional,v3-conditional-s20260914,600,995524608,d1,1,6,0.8515625,109,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-600.json
conditional,v3-conditional-s20260914,600,995524608,d1,1,8,0.515625,66,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-600.json
conditional,v3-conditional-s20260914,800,1415970816,primary,"9,10,11,12",4,0.060546875,31,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-800.json
conditional,v3-conditional-s20260914,800,1415970816,primary,"9,10,11,12",6,0.068359375,35,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-800.json
conditional,v3-conditional-s20260914,800,1415970816,primary,"9,10,11,12",8,0.07421875,38,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-800.json
conditional,v3-conditional-s20260914,800,1415970816,seen_hard,"6,8",4,0.06640625,17,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-800.json
conditional,v3-conditional-s20260914,800,1415970816,seen_hard,"6,8",6,0.09375,24,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-800.json
conditional,v3-conditional-s20260914,800,1415970816,seen_hard,"6,8",8,0.5390625,138,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-800.json
conditional,v3-conditional-s20260914,800,1415970816,d1,1,4,1.0,128,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-800.json
conditional,v3-conditional-s20260914,800,1415970816,d1,1,6,0.8125,104,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-800.json
conditional,v3-conditional-s20260914,800,1415970816,d1,1,8,0.6171875,79,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-800.json
conditional,v3-conditional-s20260914,1000,1873477632,primary,"9,10,11,12",4,0.07421875,38,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-1000.json
conditional,v3-conditional-s20260914,1000,1873477632,primary,"9,10,11,12",6,0.080078125,41,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-1000.json
conditional,v3-conditional-s20260914,1000,1873477632,primary,"9,10,11,12",8,0.072265625,37,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-1000.json
conditional,v3-conditional-s20260914,1000,1873477632,seen_hard,"6,8",4,0.0703125,18,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-1000.json
conditional,v3-conditional-s20260914,1000,1873477632,seen_hard,"6,8",6,0.0859375,22,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-1000.json
conditional,v3-conditional-s20260914,1000,1873477632,seen_hard,"6,8",8,0.5234375,134,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-1000.json
conditional,v3-conditional-s20260914,1000,1873477632,d1,1,4,1.0,128,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-1000.json
conditional,v3-conditional-s20260914,1000,1873477632,d1,1,6,0.8046875,103,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-1000.json
conditional,v3-conditional-s20260914,1000,1873477632,d1,1,8,0.5625,72,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-1000.json
conditional,v3-conditional-s20260914,1059,2001272832,primary,"9,10,11,12",4,0.060546875,31,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-final.json
conditional,v3-conditional-s20260914,1059,2001272832,primary,"9,10,11,12",6,0.072265625,37,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-final.json
conditional,v3-conditional-s20260914,1059,2001272832,primary,"9,10,11,12",8,0.068359375,35,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-final.json
conditional,v3-conditional-s20260914,1059,2001272832,seen_hard,"6,8",4,0.0625,16,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-final.json
conditional,v3-conditional-s20260914,1059,2001272832,seen_hard,"6,8",6,0.0859375,22,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-final.json
conditional,v3-conditional-s20260914,1059,2001272832,seen_hard,"6,8",8,0.5390625,138,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-final.json
conditional,v3-conditional-s20260914,1059,2001272832,d1,1,4,1.0,128,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-final.json
conditional,v3-conditional-s20260914,1059,2001272832,d1,1,6,0.796875,102,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-final.json
conditional,v3-conditional-s20260914,1059,2001272832,d1,1,8,0.6328125,81,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-conditional-s20260914/dev-final.json
independent,v3-independent-s20260914,200,283066368,primary,"9,10,11,12",4,0.068359375,35,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-200.json
independent,v3-independent-s20260914,200,283066368,primary,"9,10,11,12",6,0.056640625,29,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-200.json
independent,v3-independent-s20260914,200,283066368,primary,"9,10,11,12",8,0.060546875,31,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-200.json
independent,v3-independent-s20260914,200,283066368,seen_hard,"6,8",4,0.05078125,13,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-200.json
independent,v3-independent-s20260914,200,283066368,seen_hard,"6,8",6,0.0546875,14,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-200.json
independent,v3-independent-s20260914,200,283066368,seen_hard,"6,8",8,0.0625,16,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-200.json
independent,v3-independent-s20260914,200,283066368,d1,1,4,0.9921875,127,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-200.json
independent,v3-independent-s20260914,200,283066368,d1,1,6,0.984375,126,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-200.json
independent,v3-independent-s20260914,200,283066368,d1,1,8,0.9765625,125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-200.json
independent,v3-independent-s20260914,400,617250816,primary,"9,10,11,12",4,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-400.json
independent,v3-independent-s20260914,400,617250816,primary,"9,10,11,12",6,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-400.json
independent,v3-independent-s20260914,400,617250816,primary,"9,10,11,12",8,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-400.json
independent,v3-independent-s20260914,400,617250816,seen_hard,"6,8",4,0.125,32,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-400.json
independent,v3-independent-s20260914,400,617250816,seen_hard,"6,8",6,0.125,32,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-400.json
independent,v3-independent-s20260914,400,617250816,seen_hard,"6,8",8,0.125,32,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-400.json
independent,v3-independent-s20260914,400,617250816,d1,1,4,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-400.json
independent,v3-independent-s20260914,400,617250816,d1,1,6,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-400.json
independent,v3-independent-s20260914,400,617250816,d1,1,8,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-400.json
independent,v3-independent-s20260914,600,990412800,primary,"9,10,11,12",4,0.119140625,61,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-600.json
independent,v3-independent-s20260914,600,990412800,primary,"9,10,11,12",6,0.12109375,62,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-600.json
independent,v3-independent-s20260914,600,990412800,primary,"9,10,11,12",8,0.126953125,65,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-600.json
independent,v3-independent-s20260914,600,990412800,seen_hard,"6,8",4,0.12890625,33,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-600.json
independent,v3-independent-s20260914,600,990412800,seen_hard,"6,8",6,0.09765625,25,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-600.json
independent,v3-independent-s20260914,600,990412800,seen_hard,"6,8",8,0.12109375,31,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-600.json
independent,v3-independent-s20260914,600,990412800,d1,1,4,0.15625,20,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-600.json
independent,v3-independent-s20260914,600,990412800,d1,1,6,0.1328125,17,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-600.json
independent,v3-independent-s20260914,600,990412800,d1,1,8,0.15625,20,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-600.json
independent,v3-independent-s20260914,800,1415331840,primary,"9,10,11,12",4,0.111328125,57,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-800.json
independent,v3-independent-s20260914,800,1415331840,primary,"9,10,11,12",6,0.12109375,62,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-800.json
independent,v3-independent-s20260914,800,1415331840,primary,"9,10,11,12",8,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-800.json
independent,v3-independent-s20260914,800,1415331840,seen_hard,"6,8",4,0.1171875,30,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-800.json
independent,v3-independent-s20260914,800,1415331840,seen_hard,"6,8",6,0.1171875,30,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-800.json
independent,v3-independent-s20260914,800,1415331840,seen_hard,"6,8",8,0.140625,36,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-800.json
independent,v3-independent-s20260914,800,1415331840,d1,1,4,0.1328125,17,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-800.json
independent,v3-independent-s20260914,800,1415331840,d1,1,6,0.09375,12,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-800.json
independent,v3-independent-s20260914,800,1415331840,d1,1,8,0.1328125,17,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-800.json
independent,v3-independent-s20260914,1000,1868365824,primary,"9,10,11,12",4,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-1000.json
independent,v3-independent-s20260914,1000,1868365824,primary,"9,10,11,12",6,0.126953125,65,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-1000.json
independent,v3-independent-s20260914,1000,1868365824,primary,"9,10,11,12",8,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-1000.json
independent,v3-independent-s20260914,1000,1868365824,seen_hard,"6,8",4,0.12109375,31,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-1000.json
independent,v3-independent-s20260914,1000,1868365824,seen_hard,"6,8",6,0.125,32,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-1000.json
independent,v3-independent-s20260914,1000,1868365824,seen_hard,"6,8",8,0.125,32,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-1000.json
independent,v3-independent-s20260914,1000,1868365824,d1,1,4,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-1000.json
independent,v3-independent-s20260914,1000,1868365824,d1,1,6,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-1000.json
independent,v3-independent-s20260914,1000,1868365824,d1,1,8,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-1000.json
independent,v3-independent-s20260914,1059,2001272832,primary,"9,10,11,12",4,0.119140625,61,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-final.json
independent,v3-independent-s20260914,1059,2001272832,primary,"9,10,11,12",6,0.12109375,62,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-final.json
independent,v3-independent-s20260914,1059,2001272832,primary,"9,10,11,12",8,0.126953125,65,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-final.json
independent,v3-independent-s20260914,1059,2001272832,seen_hard,"6,8",4,0.125,32,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-final.json
independent,v3-independent-s20260914,1059,2001272832,seen_hard,"6,8",6,0.125,32,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-final.json
independent,v3-independent-s20260914,1059,2001272832,seen_hard,"6,8",8,0.125,32,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-final.json
independent,v3-independent-s20260914,1059,2001272832,d1,1,4,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-final.json
independent,v3-independent-s20260914,1059,2001272832,d1,1,6,0.1484375,19,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-final.json
independent,v3-independent-s20260914,1059,2001272832,d1,1,8,0.1328125,17,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-independent-s20260914/dev-final.json
fixed4,v3-fixed4-s20260914,200,255590400,primary,"9,10,11,12",4,0.05078125,26,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-200.json
fixed4,v3-fixed4-s20260914,200,255590400,primary,"9,10,11,12",6,0.056640625,29,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-200.json
fixed4,v3-fixed4-s20260914,200,255590400,primary,"9,10,11,12",8,0.064453125,33,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-200.json
fixed4,v3-fixed4-s20260914,200,255590400,seen_hard,"6,8",4,0.0625,16,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-200.json
fixed4,v3-fixed4-s20260914,200,255590400,seen_hard,"6,8",6,0.03515625,9,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-200.json
fixed4,v3-fixed4-s20260914,200,255590400,seen_hard,"6,8",8,0.06640625,17,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-200.json
fixed4,v3-fixed4-s20260914,200,255590400,d1,1,4,1.0,128,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-200.json
fixed4,v3-fixed4-s20260914,200,255590400,d1,1,6,1.0,128,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-200.json
fixed4,v3-fixed4-s20260914,200,255590400,d1,1,8,1.0,128,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-200.json
fixed4,v3-fixed4-s20260914,400,511180800,primary,"9,10,11,12",4,0.072265625,37,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-400.json
fixed4,v3-fixed4-s20260914,400,511180800,primary,"9,10,11,12",6,0.052734375,27,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-400.json
fixed4,v3-fixed4-s20260914,400,511180800,primary,"9,10,11,12",8,0.05859375,30,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-400.json
fixed4,v3-fixed4-s20260914,400,511180800,seen_hard,"6,8",4,0.0859375,22,256,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v3-fixed4-s20260914/dev-400.json
